BSE_SYMBOL,NSE_SYMBOL,COMPANY_NAME,ISIN
20MICRONS,20MICRONS,20 Microns Limited,INE144J01027
21STCENMGM,21STCENMGM,21st Century Management Services Limited,INE253B01015
360ONE,360ONE,360 ONE WAM LIMITED,INE466L01038
3IINFOLTD,3IINFOLTD,3i Infotech Limited,INE748C01038
3MINDIA,3MINDIA,3M India Limited,INE470A01017
3PLAND,3PLAND,3P Land Holdings Limited,INE105C01023
5PAISA,5PAISA,5Paisa Capital Limited,INE618L01018
63MOONS,63MOONS,63 moons technologies limited,INE111B01023
A2ZINFRA,A2ZINFRA,A2Z Infra Engineering Limited,INE619I01012
AAATECH,AAATECH,AAA Technologies Limited,INE0D0U01013
AADHARHFC,AADHARHFC,Aadhar Housing Finance Limited,INE883F01010
 ,AAKASH,Aakash Exploration Services Limited,INE087Z01024
AAREYDRUGS,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,INE198H01019
 ,AARON,Aaron Industries Limited,INE721Z01010
AARTECH,AARTECH,Aartech Solonics Limited,INE01C001026
AARTIDRUGS,AARTIDRUGS,Aarti Drugs Limited,INE767A01016
AARTIIND,AARTIIND,Aarti Industries Limited,INE769A01020
AARTIPHARM,AARTIPHARM,Aarti Pharmalabs Limited,INE0LRU01027
AARTISURF,AARTISURF,Aarti Surfactants Limited,INE09EO01013
AARVEEDEN,AARVEEDEN,Aarvee Denims & Exports Limited,INE273D01019
 ,AARVI,Aarvi Encon Limited,INE754X01016
AAVAS,AAVAS,Aavas Financiers Limited,INE216P01012
ABAN,ABAN,Aban Offshore Limited,INE421A01028
ABB,ABB,ABB India Limited,INE117A01022
ABBOTINDIA,ABBOTINDIA,Abbott India Limited,INE358A01014
ABCAPITAL,ABCAPITAL,Aditya Birla Capital Limited,INE674K01013
ABDL,ABDL,Allied Blenders and Distillers Limited,INE552Z01027
ABFRL,ABFRL,Aditya Birla Fashion and Retail Limited,INE647O01011
ABINFRA,ABINFRA,A B Infrabuild Limited,INE00YB01017
ABLBL,ABLBL,Aditya Birla Lifestyle Brands Limited,INE14LE01019
 ,ABMINTLLTD,ABM International Limited,INE251C01025
ABREL,ABREL,Aditya Birla Real Estate Limited,INE055A01016
ABSLAMC,ABSLAMC,Aditya Birla Sun Life AMC Limited,INE404A01024
ACC,ACC,ACC Limited,INE012A01025
ACCELYA,ACCELYA,Accelya Solutions India Limited,INE793A01012
 ,ACCURACY,Accuracy Shipping Limited,INE648Z01023
ACE,ACE,Action Construction Equipment Limited,INE731H01025
 ,ACEINTEG,Ace Integrated Solutions Limited,INE543V01017
ACI,ACI,Archean Chemical Industries Limited,INE128X01021
ACL,ACL,Andhra Cements Limited,INE666E01020
ACLGATI,ACLGATI,Allcargo Gati Limited,INE152B01027
ACMESOLAR,ACMESOLAR,Acme Solar Holdings Limited,INE622W01025
ACUTAAS,ACUTAAS,Acutaas Chemicals Limited,INE00FF01025
ADANIENSOL,ADANIENSOL,Adani Energy Solutions Limited,INE931S01010
ADANIENT,ADANIENT,Adani Enterprises Limited,INE423A01024
ADANIGREEN,ADANIGREEN,Adani Green Energy Limited,INE364U01010
ADANIPORTS,ADANIPORTS,Adani Ports and Special Economic Zone Limited,INE742F01042
ADANIPOWER,ADANIPOWER,Adani Power Limited,INE814H01011
ADFFOODS,ADFFOODS,ADF Foods Limited,INE982B01027
ADL,ADL,Archidply Decor Limited,INE0CHO01012
ADOR,ADOR,Ador Welding Limited,INE045A01017
ADROITINFO,ADROITINFO,Adroit Infotech Limited,INE737B01033
ADSL,ADSL,Allied Digital Services Limited,INE102I01027
ADVANIHOTR,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,INE199C01026
ADVENZYMES,ADVENZYMES,Advanced Enzyme Technologies Limited,INE837H01020
AEGISLOG,AEGISLOG,Aegis Logistics Limited,INE208C01025
AEGISVOPAK,AEGISVOPAK,Aegis Vopak Terminals Limited,INE0INX01018
AEROENTER,AEROENTER,Aeroflex Enterprises Limited,INE065D01027
AEROFLEX,AEROFLEX,Aeroflex Industries Limited,INE024001021
AETHER,AETHER,Aether Industries Limited,INE0BWX01014
AFCONS,AFCONS,Afcons Infrastructure Limited,INE101I01011
AFFLE,AFFLE,Affle 3i Limited,INE00WC01027
AFFORDABLE,AFFORDABLE,Affordable Robotic & Automation Limited,INE692Z01013
AFIL,AFIL,Akme Fintrade (India) Limited,INE916Y01027
AFSL,AFSL,Abans Financial Services Limited,INE00ZE01026
AGARIND,AGARIND,Agarwal Industrial Corporation Limited,INE204E01012
AGARWALEYE,AGARWALEYE,Dr. Agarwal's Health Care Limited,INE943P01029
AGI,AGI,AGI Greenpac Limited,INE415A01038
AGIIL,AGIIL,Agi Infra Limited,INE976R01025
AGRITECH,AGRITECH,Agri-Tech (India) Limited,INE449G01018
 ,AGROPHOS,Agro Phos India Limited,INE740V01019
AGSTRA,AGSTRA,AGS Transact Technologies Limited,INE583L01014
 ,AHLADA,Ahlada Engineers Limited,INE00PV01013
AHLEAST,AHLEAST,Asian Hotels (East) Limited,INE926K01017
AHLUCONT,AHLUCONT,Ahluwalia Contracts (India) Limited,INE758C01029
AIAENG,AIAENG,AIA Engineering Limited,INE212H01026
AIIL,AIIL,Authum Investment & Infrastructure Limited,INE206F01022
AIRAN,AIRAN,Airan Limited,INE645W01026
 ,AIROLAM,Airo Lam limited,INE801L01010
AJANTPHARM,AJANTPHARM,Ajanta Pharma Limited,INE031B01049
AJAXENGG,AJAXENGG,Ajax Engineering Limited,INE274Y01021
AJMERA,AJMERA,Ajmera Realty & Infra India Limited,INE298G01027
 ,AJOONI,Ajooni Biotech Limited,INE820Y01021
 ,AKASH,Akash Infra-Projects Limited,INE737W01013
 ,AKG,Akg Exim Limited,INE00Y801016
AKI,AKI,AKI India Limited,INE642Z01026
AKSHAR,AKSHAR,Akshar Spintex Limited,INE256Z01025
AKSHARCHEM,AKSHARCHEM,AksharChem India Limited,INE542B01011
AKSHOPTFBR,AKSHOPTFBR,Aksh Optifibre Limited,INE523B01011
AKUMS,AKUMS,Akums Drugs and Pharmaceuticals Limited,INE09XN01023
AKZOINDIA,AKZOINDIA,Akzo Nobel India Limited,INE133A01011
ALANKIT,ALANKIT,Alankit Limited,INE914E01040
ALBERTDAVD,ALBERTDAVD,Albert David Limited,INE155C01010
ALEMBICLTD,ALEMBICLTD,Alembic Limited,INE426A01027
ALICON,ALICON,Alicon Castalloy Limited,INE062D01024
ALIVUS,ALIVUS,Alivus Life Sciences Limited,INE03Q201024
ALKALI,ALKALI,Alkali Metals Limited,INE773I01017
ALKEM,ALKEM,Alkem Laboratories Limited,INE540L01014
ALKYLAMINE,ALKYLAMINE,Alkyl Amines Chemicals Limited,INE150B01039
ALLCARGO,ALLCARGO,Allcargo Logistics Limited,INE418H01029
ALLDIGI,ALLDIGI,Alldigi Tech Limited,INE835G01018
ALMONDZ,ALMONDZ,Almondz Global Securities Limited,INE326B01035
ALOKINDS,ALOKINDS,Alok Industries Limited,INE270A01029
